,Unnamed: 0,location,produce,prices
0,0,Bedford New Hampshire,"Organic Large Hass Avocado, 1 each",$1.99
1,1,Bedford New Hampshire,"Large Hass Avocado, 1 each",$1.99
2,2,Bedford New Hampshire,Organic Honeycrisp Apple,$3.99/lb
3,3,Bedford New Hampshire,Whole Trade® Organic Bananas,69¢/lb
4,4,Bedford New Hampshire,Organic Broccoli,$2.49/lb
5,5,Bedford New Hampshire,Cherries,$4.99/lb
6,6,Bedford New Hampshire,Sumo Citrus,$3.99/lb
7,7,Bedford New Hampshire,"Small Hass Avocado, 1 each",$1.49
8,8,Bedford New Hampshire,Green Asparagus,$2.99/lb
9,9,Bedford New Hampshire,"Organic Bunched Celery, 1 each",$1.99
10,10,Bedford New Hampshire,"Lemon, 1 each",79¢
11,11,Bedford New Hampshire,Organic Fuji Apple,$1.99/lb
12,12,Bedford New Hampshire,Whole Trade® Bananas,49¢/lb
13,13,Bedford New Hampshire,Honeycrisp Apple,$2.99/lb
14,14,Bedford New Hampshire,Organic Green Asparagus,$4.99/lb
15,15,Bedford New Hampshire,Organic Zucchini Squash,$2.99/lb
16,16,Bedford New Hampshire,Vine Tomato,$1.99/lb
17,17,Bedford New Hampshire,Green Seedless Grapes,$2.99/lb
18,18,Bedford New Hampshire,Organic Gala Apple,$1.99/lb
19,19,Bedford New Hampshire,Organic WTG Green Seedless Grapes,$3.99/lb
0,0,Destin,Whole Trade® Organic Bananas,69¢/lb
1,1,Destin,Organic Broccoli,$2.49/lb
2,2,Destin,Cherries,$4.99/lb
3,3,Destin,"Small Hass Avocado, 1 each",$1.49
4,4,Destin,Green Asparagus,$2.99/lb
5,5,Destin,"Organic Bunched Celery, 1 each",$1.99
6,6,Destin,"Lemon, 1 each",79¢
7,7,Destin,Organic Fuji Apple,$1.99/lb
8,8,Destin,Whole Trade® Bananas,49¢/lb
9,9,Destin,Honeycrisp Apple,$2.49/lb
10,10,Destin,Organic Cherries,$7.99/lb
11,11,Destin,Organic Green Asparagus,$4.99/lb
12,12,Destin,Organic Zucchini Squash,$3.99/lb
13,13,Destin,Vine Tomato,$1.99/lb
14,14,Destin,"Organic Baby Spinach, 16 oz",$4.99
15,15,Destin,Green Seedless Grapes,$2.99/lb
16,16,Destin,Organic Gala Apple,$1.99/lb
17,17,Destin,Red Seedless Grapes,$2.99/lb
18,18,Destin,Organic Heirloom Tomatoes,$5.99/lb
19,19,Destin,"Organic Cauliflower, 1 each",$3.99
0,0,Beverly,"Organic Large Hass Avocado, 1 each",$1.99
1,1,Beverly,"Large Hass Avocado, 1 each",$1.99
2,2,Beverly,Organic Honeycrisp Apple,$3.99/lb
