,location,produce,prices
0,Chappaqua,"Organic Large Hass Avocado, 1 avocado (medium)",$1.99
1,Chappaqua,"Large Hass Avocado, 1 avocado",$1.99
2,Chappaqua,"Organic Honeycrisp Apple, 1 apple",$3.99/lb
3,Chappaqua,"Organic Broccoli, 1 lb",$2.49/lb
4,Chappaqua,"Cherries, 1 lb",$4.99/lb
5,Chappaqua,"Sumo Citrus, 1 lb",$3.99/lb
6,Chappaqua,"Medium Hass Avocado, 1 lb",$1.49
7,Chappaqua,"Green Asparagus, 1 lb",$2.99/lb
8,Chappaqua,"Organic Bunched Celery, 1 lb",$1.99
9,Chappaqua,"Lemon, 1 lemon",79¢
10,Chappaqua,"Organic Fuji Apples, 1 each",$1.99/lb
11,Chappaqua,"Whole Trade® Bananas, 1 banana",49¢/lb
12,Chappaqua,Honeycrisp Apple,$2.99/lb
13,Chappaqua,"Organic Cherries, 1 lb",$7.99/lb
14,Chappaqua,"Organic Green Asparagus, 1 lb",$4.99/lb
15,Chappaqua,"Organic Zucchini Squash, 1 lb",$2.99/lb
16,Chappaqua,"Vine Tomato, 1 tomato",$1.99/lb
17,Chappaqua,"Green Seedless Grapes, 1 lb",$2.99/lb
18,Chappaqua,"Organic Gala Apple, 1 lb",$1.99/lb
19,Chappaqua,"Organic Red Sweet Potato, 1 lb",$1.99/lb
